lane,step_order,parent_file_uploaded,actual_file_hint,current_relative_path,current_absolute_path,role,execution_type,purpose,subfile_count,subfiles_uploaded,clean_repo_target,migration_status,contract_gap,secret_risk
provider_pull_spine,PULL-ROOT,spine_master_import.bat,spine_master_import.bat,workers\spine\spine_master_import.bat,C:\miratv_ingest\workers\spine\spine_master_import.bat,provider_pull_spine_orchestrator,batch_orchestrator,"Legacy/current provider pull spine entry point for Live, VOD, Series, and EPG acquisition.",7,pull_live_cat_trigger.bat; pull_live_streams_trigger.bat; pull_vod_cat_trigger.bat; pull_vod_streams_trigger.bat; pull_series_trigger.bat; pull_series_trigger.ps1; pull_epg_trigger.bat,rebuild_as_governed_delta_spine,current_system_evidence,"needs governed orchestrator, per-media subcomponent logging, signal, kill switch, bounded execution",provider_credential_or_domain_risk
provider_pull_spine,PULL-WORKERS,pull_*_worker.ps1,workers\spine\workers\pull_*_worker.ps1,workers\spine\workers,C:\miratv_ingest\workers\spine\workers,provider_pull_worker_group,worker_group,Provider API pull workers that acquire Live/VOD/Series/EPG payloads into local raw/state folders.,6,pull_live_cat_worker.ps1; pull_live_streams_worker.ps1; pull_vod_cat_worker.ps1; pull_vod_streams_worker.ps1; pull_series_worker.ps1; pull_epg_worker.ps1,rebuild_as_provider_snapshot_pull_workers,current_system_evidence,needs governed worker contract and provider domain/secret abstraction,provider_credential_or_domain_risk
provider_pull_spine,IMPORT-CALLS,import_*.ps1,workers\spine\call\import_*.ps1,workers\spine\call,C:\miratv_ingest\workers\spine\call,provider_payload_import_group,import_call_group,Import locally acquired provider payloads into DB/server-side ingest endpoints.,7,import_live_categories.ps1; import_live_channels.ps1; import_vod_categories.ps1; import_vod_streams.ps1; import_series_json.ps1; import_epg.ps1; import_epg_chunked.ps1,rebuild_as_delta_import_or_enqueue_workers,current_system_evidence,"needs governed import contract, dry-run planning, and bounded writes",endpoint_or_import_token_risk
provider_pull_spine,PULL-STATE,state markers,workers\spine\state\*.last,workers\spine\state,C:\miratv_ingest\workers\spine\state,provider_pull_state_markers,state_marker_group,Existing state marker files that indicate the old spine already tracked last pull state for at least Live and VOD streams.,2,live_streams.last; vod_streams.last,replace_with_provider_inventory_snapshot_state,current_system_evidence,state markers should be replaced by structured snapshot/delta records,low
series_ingest,1,00_series_pipeline_trigger1.ps1,00_series_pipeline_trigger.ps1,triggers\00_series_pipeline_trigger.ps1,C:\miratv_ingest\triggers\00_series_pipeline_trigger.ps1,series_pipeline_trigger,trigger,Trigger remote series pipeline and capture/track series pipeline output.,1,series_pipeline1-1.php,review_before_migration,current_system_evidence,needs governed logging/signal/kill-switch if migrated,possible_endpoint_token_or_provider_context
series_ingest,3,03_raw_router_trigger3.ps1,03_raw_router_trigger.ps1,triggers\03_raw_router_trigger.ps1,C:\miratv_ingest\triggers\03_raw_router_trigger.ps1,raw_router_trigger,trigger,Invoke raw router worker to classify and route raw payloads.,1,raw_router_worker3-1.ps1,candidate_worker_after_review,current_system_evidence,needs logging/signal/kill-switch contract,low_to_unknown
series_ingest,4,01_series_grinder_trigger4.bat,01_series_grinder_trigger.bat,triggers\01_series_grinder_trigger.bat,C:\miratv_ingest\triggers\01_series_grinder_trigger.bat,series_grinder_batch_trigger,batch_trigger,Run local series grinder workers that split raw provider payloads into structured JSON fragments.,7,series_grinder.ps1; series_grinder_2_series_ext.ps1; series_grinder_3_seasons.ps1; series_grinder_4_season_ext.ps1; series_grinder_5_episodes.ps1; series_grinder_5_nested _brackets_episodes.ps1; series_grinder_6_cleaner.ps1,candidate_composite_worker_or_subcomponents_after_review,current_system_evidence,needs governed orchestration and subcomponent logging if migrated,low_to_unknown
series_ingest,5,02_series_grinder_arrays_trigger5.ps1,02_series_grinder_arrays_trigger.ps1,triggers\02_series_grinder_arrays_trigger.ps1,C:\miratv_ingest\triggers\02_series_grinder_arrays_trigger.ps1,array_grinder_trigger,trigger,Normalize and process array-shaped raw payloads.,2,raw_local_normalizer5-1.ps1; series_grinder_arrays5-2.ps1,candidate_worker_after_review,current_system_evidence,needs logging/signal/kill-switch contract,low_to_unknown
series_ingest,6,04_raw_ingest_trigger6.ps1,04_raw_ingest_trigger.ps1,triggers\04_raw_ingest_trigger.ps1,C:\miratv_ingest\triggers\04_raw_ingest_trigger.ps1,raw_ingest_trigger_pass1,remote_trigger,Call server-side ingest_series_files pass.,1,ingest_series_files6-1.php,server_worker_contract_review,current_system_evidence,PHP logging/signal/kill-switch adapter needed if governed,token_risk
series_ingest,7,05_raw_ingest_pass2_trigger7.ps1,05_raw_ingest_pass2_trigger.ps1,triggers\05_raw_ingest_pass2_trigger.ps1,C:\miratv_ingest\triggers\05_raw_ingest_pass2_trigger.ps1,raw_ingest_trigger_pass2,remote_trigger,Call server-side run_two series-detail ingest pass.,1,ingest_series run_two7-1.php,server_worker_contract_review,current_system_evidence,PHP logging/signal/kill-switch adapter needed if governed,token_risk
series_ingest,8,06_upload_trigger8.bat,06_upload_trigger.bat,triggers\06_upload_trigger.bat,C:\miratv_ingest\triggers\06_upload_trigger.bat,upload_trigger,batch_trigger,Upload generated JSON artifacts from series_sep to remote raw_store and move completed files to processed.,0,,rewrite_required_before_migration,current_system_evidence,"needs secure credential handling, logging, signal, bounded retry",high_credential_risk
series_ingest,9,4-2raw_ingest_trigger9.ps1,4-2raw_ingest_trigger.ps1,triggers\4-2raw_ingest_trigger.ps1,C:\miratv_ingest\triggers\4-2raw_ingest_trigger.ps1,raw_ingest_trigger_details_first,remote_trigger,Additional/details-first server-side ingest pass.,1,ingest_series run_two9-1.php,server_worker_contract_review,current_system_evidence,PHP logging/signal/kill-switch adapter needed if governed,token_risk
